venue,new_venue_name
Arun Jaitley Stadium,Arun Jaitley Stadium
Barabati Stadium,Barabati Stadium
Brabourne Stadium,Brabourne Stadium
Buffalo Park,Buffalo Park
De Beers Diamond Oval,De Beers Diamond Oval
Dr DY Patil Sports Academy,Dr DY Patil Sports Academy
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Dubai International Cricket Stadium,Dubai International Cricket Stadium
Eden Gardens,Eden Gardens
Feroz Shah Kotla,Feroz Shah Kotla
Green Park,Green Park
Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium
Holkar Cricket Stadium,Holkar Cricket Stadium
JSCA International Stadium Complex,JSCA International Stadium Complex
Kingsmead,Kingsmead
M Chinnaswamy Stadium,M Chinnaswamy Stadium
M.Chinnaswamy Stadium,M Chinnaswamy Stadium
MA Chidambaram Stadium,MA Chidambaram Stadium
"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium
"MA Chidambaram Stadium, Chepauk, Chennai",MA Chidambaram Stadium
Maharashtra Cricket Association Stadium,xx
Nehru Stadium,Nehru Stadium
New Wanderers Stadium,New Wanderers Stadium
Newlands,Newlands
OUTsurance Oval,OUTsurance Oval
Punjab Cricket Association IS Bindra Stadium,Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium
"Punjab Cricket Association Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium
Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium
"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium
"Sardar Patel Stadium, Motera","Sardar Patel Stadium, Motera"
Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium
Sawai Mansingh Stadium,Sawai Mansingh Stadium
Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Stadium
Sharjah Cricket Stadium,Sharjah Cricket Stadium
Sheikh Zayed Stadium,Sheikh Zayed Stadium
St George's Park,St George's Park
Subrata Roy Sahara Stadium,Subrata Roy Sahara Stadium
SuperSport Park,SuperSport Park
"Vidarbha Cricket Association Stadium, Jamtha","Vidarbha Cricket Association Stadium, Jamtha"
Wankhede Stadium,Wankhede Stadium
"Wankhede Stadium, Mumbai",Wankhede Stadium
Narendra Modi Stadium,"Sardar Patel Stadium, Motera"
